,ArrivalDate,T,RA
399,10/4/2011,28.7,0
400,10/5/2011,28.8,0
401,10/6/2011,28.8,0
402,10/7/2011,28.9,0
403,10/8/2011,28.2,0
404,10/9/2011,28.8,0
405,10/10/2011,28.6,0
406,10/11/2011,28.5,0
407,10/12/2011,28.4,0
408,10/13/2011,28.4,0
409,10/14/2011,28.3,0
410,10/15/2011,26.2,1
411,10/16/2011,25.1,0
412,10/17/2011,26.2,0
413,10/18/2011,26.7,1
414,10/19/2011,27.4,0
415,10/20/2011,26.5,0
416,10/21/2011,27.8,0
417,10/22/2011,24.7,1
418,10/23/2011,24.6,0
419,10/24/2011,25.1,0
420,10/25/2011,25.1,0
421,10/26/2011,24.9,0
422,10/27/2011,23.6,0
423,10/28/2011,23.8,0
424,10/29/2011,23.6,0
425,10/30/2011,23.8,0
426,10/31/2011,24.2,0
427,11/1/2011,21.7,0
428,11/2/2011,20.9,0
429,11/3/2011,21.5,0
430,11/4/2011,21.5,0
431,11/5/2011,22.4,0
432,11/6/2011,23.4,0
433,11/7/2011,21.2,0
434,11/8/2011,21.7,0
435,11/9/2011,21.7,0
436,11/10/2011,20.8,0
437,11/11/2011,19.6,0
438,11/12/2011,21.4,0
439,11/13/2011,19.2,0
440,11/14/2011,20.2,0
441,11/15/2011,21,0
442,11/16/2011,19.2,1
443,11/17/2011,18.3,0
444,11/18/2011,18.9,0
445,11/19/2011,19,0
446,11/20/2011,20.3,0
447,11/21/2011,20.4,0
448,11/22/2011,20.7,0
449,11/23/2011,20.6,0
450,11/24/2011,20.4,0
451,11/25/2011,20.7,0
452,11/26/2011,20.4,0
453,11/27/2011,20.1,0
454,11/28/2011,20.8,0
455,11/29/2011,22,0
456,11/30/2011,20.3,0
457,12/1/2011,20.3,0
458,12/2/2011,20.3,0
459,12/3/2011,19.7,0
460,12/4/2011,18.2,1
461,12/5/2011,20.4,0
462,12/6/2011,21.8,0
463,12/7/2011,21.2,0
464,12/8/2011,21.2,0
465,12/9/2011,22,0
466,12/10/2011,17.8,1
467,12/11/2011,15.6,1
468,12/12/2011,16.7,0
469,12/13/2011,16.5,0
470,12/14/2011,17.6,0
471,12/15/2011,18.5,0
472,12/16/2011,17.1,0
473,12/17/2011,17.3,0
474,12/18/2011,17.5,0
475,12/19/2011,16.9,0
476,12/20/2011,16.4,0
477,12/21/2011,16.2,0
478,12/22/2011,16.1,0
479,12/23/2011,15.8,0
480,12/24/2011,16.4,0
481,12/25/2011,17.7,0
482,12/26/2011,18.1,0
483,12/27/2011,18.8,0
484,12/28/2011,18.9,0
485,12/29/2011,19.1,0
486,12/30/2011,18.1,0
487,12/31/2011,17.9,0
488,1/1/2012,17.4,0
489,1/2/2012,17.2,1
490,1/3/2012,17.2,0
491,1/4/2012,16.2,1
492,1/5/2012,16.5,1
493,1/6/2012,16.7,0
494,1/7/2012,16,0
495,1/8/2012,15.9,0
496,1/9/2012,16.8,1
497,1/10/2012,17.5,0
498,1/11/2012,15.8,1
499,1/12/2012,16.1,0
500,1/13/2012,15,0
501,1/14/2012,14.4,0
502,1/15/2012,14.1,0
503,1/16/2012,15.9,0
504,1/17/2012,14,1
505,1/18/2012,14.2,1
506,1/19/2012,16.2,1
507,1/20/2012,14.9,1
508,1/21/2012,16.1,0
509,1/22/2012,15.2,1
510,1/23/2012,16,0
511,1/24/2012,17,0
512,1/25/2012,16.5,0
513,1/26/2012,17,0
514,1/27/2012,16.9,0
515,1/28/2012,16.1,0
516,1/29/2012,16.2,0
517,1/30/2012,16.7,0
518,1/31/2012,16.6,0
519,2/1/2012,16.5,0
520,2/2/2012,16.3,0
521,2/3/2012,16.9,0
522,2/4/2012,17.2,0
523,2/5/2012,17.9,0
524,2/6/2012,17.2,0
525,2/7/2012,17.7,0
526,2/8/2012,18.8,0
527,2/9/2012,18.8,0
528,2/10/2012,18.8,0
529,2/11/2012,17.5,0
530,2/12/2012,18.2,0
531,2/13/2012,19.4,0
532,2/14/2012,19.2,0
533,2/15/2012,18.5,0
534,2/16/2012,18.5,0
535,2/17/2012,20,0
536,2/18/2012,19.8,0
537,2/19/2012,18.4,0
538,2/20/2012,19.6,0
539,2/21/2012,20.6,0
540,2/22/2012,21.1,0
541,2/23/2012,22.1,0
542,2/24/2012,22.1,1
543,2/25/2012,19.8,0
544,2/26/2012,20.5,0
545,2/27/2012,21,0
546,2/28/2012,19.5,0
547,2/29/2012,19.9,0
548,3/1/2012,18.3,1
549,3/2/2012,19.7,1
550,3/3/2012,18.3,1
551,3/4/2012,15.6,1
552,3/5/2012,17.1,0
553,3/6/2012,17.3,0
554,3/7/2012,20.2,0
555,3/8/2012,20.7,0
556,3/9/2012,22.4,0
557,3/10/2012,21,0
558,3/11/2012,22.4,0
559,3/12/2012,22.8,0
560,3/13/2012,22.1,1
561,3/14/2012,20.7,1
562,3/15/2012,21.4,0
563,3/16/2012,20.2,0
564,3/17/2012,20.8,0
565,3/18/2012,21.9,0
566,3/19/2012,23.2,0
567,3/20/2012,24.3,0
568,3/21/2012,23.1,1
569,3/22/2012,20.1,1
570,3/23/2012,22.3,0
571,3/24/2012,24.7,0
572,3/25/2012,25.4,0
573,3/26/2012,25.6,0
574,3/27/2012,18.7,1
575,3/28/2012,20.4,1
576,3/29/2012,21,1
577,3/30/2012,20.8,1
578,3/31/2012,24.2,0
579,4/1/2012,25.2,0
580,4/2/2012,26.2,0
581,4/3/2012,26.1,0
582,4/4/2012,22.8,1
583,4/5/2012,20.9,1
584,4/6/2012,20.6,1
585,4/7/2012,21.7,1
