"","ArrivalDate","MODALPRICE","arrivalquantity","T","RA"
"218",2015-11-03,19500,0,25.2,"0"
"219",2015-11-04,19500,0,20.3,"1"
"220",2015-11-06,19500,0,21.3,"0"
"221",2015-11-09,19500,0,22,"0"
"222",2015-11-12,19500,0,21.1,"0"
"223",2015-11-18,19250,0,20.3,"0"
"224",2015-11-20,19250,0,21.1,"0"
"225",2015-11-21,19250,0,21.2,"0"
"226",2015-12-03,17400,0,19.8,"1"
"227",2015-12-09,17400,0,21.2,"0"
"228",2015-12-10,17400,1,20.7,"0"
"229",2015-12-11,17400,4,19.6,"1"
"230",2015-12-12,17400,3,17.6,"1"
"231",2015-12-14,17400,2,18.7,"1"
"232",2015-12-15,17400,3.6,17.9,"1"
"233",2015-12-16,17400,5,16.6,"0"
"234",2015-12-17,17400,3.1,17.8,"0"
"235",2015-12-18,17400,65,17.6,"0"
"236",2015-12-19,17400,41,16.7,"1"
"237",2015-12-21,17400,4,18.9,"0"
"238",2015-12-22,17400,27,17.1,"0"
"239",2015-12-23,17400,5,17.8,"0"
"240",2015-12-24,17400,85,18.1,"0"
"241",2015-12-25,17400,67,18.8,"0"
"242",2015-12-26,17400,4,17.9,"0"
"243",2015-12-28,17400,63,19.2,"0"
"244",2015-12-29,17400,42,19.6,"0"
"245",2015-12-30,17400,5.5,20.7,"0"
"246",2015-12-31,17400,7.6,NA,"0"
"247",2016-01-01,17400,4.9,NA,NA
"248",2016-01-02,17400,6,NA,NA
"249",2016-01-03,17400,3,NA,NA
"250",2016-01-04,17400,5,NA,NA
"251",2016-01-05,17400,76,NA,NA
"252",2016-01-06,17400,65,NA,NA
"253",2016-01-07,17400,42,NA,NA
"254",2016-01-08,17400,5.2,NA,NA
"255",2016-01-09,17400,32,NA,NA
"256",2016-01-10,17400,7,NA,NA
"257",2016-01-11,17400,65,NA,NA
"258",2016-01-12,17400,7.9,NA,NA
"259",2016-01-13,17400,3.1,NA,NA
"260",2016-01-14,17400,2,NA,NA
"261",2016-01-15,17400,45,NA,NA
"262",2016-01-16,17400,7,NA,NA
"263",2016-01-17,17400,5.5,NA,NA
"264",2016-01-18,17400,3,NA,NA
"265",2016-01-20,17400,8,NA,NA
"266",2016-01-21,17400,4.5,NA,NA
"267",2016-01-22,17400,5.9,NA,NA
"268",2016-01-23,17400,9,NA,NA
"269",2016-01-24,17400,3.9,NA,NA
"270",2016-01-25,17400,5.6,NA,NA
"271",2016-01-26,17400,3,NA,NA
"272",2016-01-27,17400,5.5,NA,NA
"273",2016-01-28,17400,3.9,NA,NA
"274",2016-01-29,17400,1.5,NA,NA
"275",2016-01-30,17400,2.8,NA,NA
"276",2016-05-03,13400,0.7,NA,NA
"277",2016-05-04,13400,1.6,NA,NA
"278",2016-05-05,13400,0.9,NA,NA
"279",2016-05-06,13400,2.1,NA,NA
"280",2016-05-07,13400,1.1,NA,NA
"281",2016-05-09,13400,2,NA,NA
"282",2016-05-10,13400,0.8,NA,NA
"283",2016-05-11,13400,1.3,NA,NA
"284",2016-05-12,13400,2.6,NA,NA
"285",2016-05-13,13400,1,NA,NA
"286",2016-05-14,13400,2.1,NA,NA
"287",2016-05-16,13400,1.1,NA,NA
"288",2016-05-17,13400,0.6,NA,NA
"289",2016-05-18,13400,1.3,NA,NA
"290",2016-05-19,13400,0.8,NA,NA
"291",2016-05-20,13400,1.9,NA,NA
"292",2016-05-21,13400,1,NA,NA
"293",2016-05-23,13400,1.3,NA,NA
"294",2016-05-24,13400,0.6,NA,NA
"295",2016-05-25,13400,1.9,NA,NA
"296",2016-05-26,13400,0.8,NA,NA
"297",2016-05-27,13400,1.2,NA,NA
"298",2016-05-28,13400,2.2,NA,NA
"299",2016-05-30,13400,0.8,NA,NA
"300",2016-05-31,13400,2.1,NA,NA
"301",2016-06-02,13400,1.9,NA,NA
"302",2016-06-03,13400,2.6,NA,NA
"303",2016-06-04,13400,1.3,NA,NA
"304",2016-06-05,13400,1,NA,NA
"305",2016-06-06,13400,1.8,NA,NA
"306",2016-06-07,13400,0.6,NA,NA
"307",2016-06-08,13400,1,NA,NA
"308",2016-06-09,13400,1.6,NA,NA
"309",2016-06-10,13400,0.9,NA,NA
"310",2016-06-11,13400,3,NA,NA
"311",2016-06-13,13400,1.1,NA,NA
"312",2016-06-14,13400,1.8,NA,NA
"313",2016-06-15,13400,0.6,NA,NA
"314",2016-06-16,13400,2.1,NA,NA
"315",2016-06-17,13400,0.9,NA,NA
"316",2016-06-18,13400,0.7,NA,NA
"317",2016-06-20,13400,1.3,NA,NA
"318",2016-06-21,13400,0.8,NA,NA
"319",2016-06-22,13400,1.2,NA,NA
"320",2016-06-23,13400,0.5,NA,NA
"321",2016-06-24,13400,1.7,NA,NA
"322",2016-06-25,13400,0.6,NA,NA
"323",2016-06-27,13400,1.2,NA,NA
"324",2016-06-28,13400,0.7,NA,NA
"325",2016-06-29,13400,2,NA,NA
"326",2016-06-30,13400,1.5,NA,NA
"327",2016-07-01,13400,0.9,NA,NA
"328",2016-07-02,13400,1.9,NA,NA
"329",2016-07-03,13400,0.7,NA,NA
"330",2016-07-04,13400,0.4,NA,NA
"331",2016-07-05,13400,1.1,NA,NA
"332",2016-07-06,13400,0.6,NA,NA
"333",2016-07-07,13400,1.3,NA,NA
"334",2016-07-08,13400,0.8,NA,NA
"335",2016-07-09,13400,0.5,NA,NA
"336",2016-07-11,13400,0.9,NA,NA
"337",2016-07-12,13400,1.6,NA,NA
"338",2016-07-13,13400,1.3,NA,NA
"339",2016-07-14,13400,1.6,NA,NA
"340",2016-07-15,13400,2.8,NA,NA
"341",2016-07-16,13400,1.2,NA,NA
"342",2016-07-18,13400,0.6,NA,NA
"343",2016-07-19,13400,1.8,NA,NA
"344",2016-07-20,13400,3,NA,NA
"345",2016-07-21,13400,1.1,NA,NA
"346",2016-07-22,13400,0.5,NA,NA
"347",2016-07-23,13400,2,NA,NA
"348",2016-07-25,13400,1.6,NA,NA
"349",2016-07-26,13400,0.5,NA,NA
"350",2016-07-27,13400,2,NA,NA
"351",2016-07-28,13400,0.9,NA,NA
"352",2016-07-29,13400,3,NA,NA
"353",2016-07-30,13400,2,NA,NA
"354",2016-08-01,13400,1.4,NA,NA
"355",2016-08-02,13400,0.5,NA,NA
