,ArrivalDate,Price,T,RA
242,9/2/2011,6600,30.2,0
243,9/5/2011,6600,29.3,1
244,9/6/2011,6600,27.8,1
245,9/7/2011,6600,28,1
246,9/8/2011,6600,27.3,1
247,9/9/2011,6600,30.3,0
248,9/12/2011,6600,30.8,0
249,9/13/2011,6600,30.7,0
250,9/14/2011,6600,29.8,1
251,9/15/2011,6600,27.8,1
252,9/16/2011,6600,28.1,1
253,9/19/2011,6600,30.9,0
254,9/20/2011,6600,30.2,0
255,9/21/2011,6600,27.6,1
256,9/22/2011,6600,27.9,1
257,9/23/2011,6600,28.5,1
258,9/26/2011,6600,27.2,1
259,9/27/2011,6600,27.3,0
260,9/28/2011,6600,28.4,0
261,9/29/2011,6700,29.4,0
262,9/30/2011,6700,30.7,0
263,10/3/2011,6700,27.6,0
264,10/4/2011,6700,28.7,0
265,10/5/2011,6700,28.8,0
266,10/7/2011,6700,28.9,0
267,10/18/2011,6700,26.7,1
268,10/20/2011,6700,26.5,0
269,10/21/2011,6700,27.8,0
270,10/24/2011,6700,25.1,0
271,10/27/2011,6600,23.6,0
272,10/28/2011,6600,23.8,0
273,10/31/2011,6600,24.2,0
274,11/1/2011,6600,21.7,0
275,11/2/2011,6600,20.9,0
276,11/3/2011,6600,21.5,0
277,11/8/2011,6600,21.7,0
278,11/9/2011,6700,21.7,0
279,11/11/2011,6700,19.6,0
280,11/15/2011,6700,21,0
281,11/16/2011,6700,19.2,1
282,11/17/2011,6700,18.3,0
283,11/18/2011,6700,18.9,0
284,11/21/2011,6700,20.4,0
285,11/22/2011,6700,20.7,0
286,11/23/2011,6700,20.6,0
287,11/24/2011,6700,20.4,0
288,11/25/2011,6700,20.7,0
289,11/28/2011,6700,20.8,0
290,11/29/2011,6600,22,0
291,11/30/2011,6600,20.3,0
292,12/1/2011,6600,20.3,0
293,12/2/2011,6600,20.3,0
294,12/5/2011,6700,20.4,0
295,12/7/2011,6700,21.2,0
296,12/8/2011,6700,21.2,0
297,12/9/2011,6750,22,0
298,12/12/2011,6750,16.7,0
299,12/13/2011,6750,16.5,0
300,12/14/2011,6750,17.6,0
301,12/15/2011,6750,18.5,0
302,12/19/2011,6750,16.9,0
303,12/20/2011,6750,16.4,0
